Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,clk,Location,PIN_G21,Yes,,,
Ok,,horiz_sync_out,Location,PIN_L21,Yes,,,
Ok,,mouse_clk,Location,PIN_P22,Yes,,,
Ok,,mouse_data,Location,PIN_P21,Yes,,,
Ok,,seg0[7],Location,PIN_D13,Yes,,,
Ok,,seg1[7],Location,PIN_B15,Yes,,,
Ok,,seg2[7],Location,PIN_A18,Yes,,,
Ok,,seg3[7],Location,PIN_G16,Yes,,,
Ok,,vert_sync_out,Location,PIN_L22,Yes,,,
Ok,,seg3[0],Location,PIN_B18,Yes,,,
Ok,,seg3[1],Location,PIN_F15,Yes,,,
Ok,,seg3[2],Location,PIN_A19,Yes,,,
Ok,,seg3[3],Location,PIN_B19,Yes,,,
Ok,,seg3[4],Location,PIN_C19,Yes,,,
Ok,,seg3[5],Location,PIN_D19,Yes,,,
Ok,,seg3[6],Location,PIN_G15,Yes,,,
Ok,,seg2[0],Location,PIN_D15,Yes,,,
Ok,,seg2[1],Location,PIN_A16,Yes,,,
Ok,,seg2[2],Location,PIN_B16,Yes,,,
Ok,,seg2[3],Location,PIN_E15,Yes,,,
Ok,,seg2[4],Location,PIN_A17,Yes,,,
Ok,,seg2[5],Location,PIN_B17,Yes,,,
Ok,,seg2[6],Location,PIN_F14,Yes,,,
Ok,,seg1[0],Location,PIN_A13,Yes,,,
Ok,,seg1[1],Location,PIN_B13,Yes,,,
Ok,,seg1[2],Location,PIN_C13,Yes,,,
Ok,,seg1[3],Location,PIN_A14,Yes,,,
Ok,,seg1[4],Location,PIN_B14,Yes,,,
Ok,,seg1[5],Location,PIN_E14,Yes,,,
Ok,,seg1[6],Location,PIN_A15,Yes,,,
Ok,,seg0[0],Location,PIN_E11,Yes,,,
Ok,,seg0[1],Location,PIN_F11,Yes,,,
Ok,,seg0[2],Location,PIN_H12,Yes,,,
Ok,,seg0[3],Location,PIN_H13,Yes,,,
Ok,,seg0[4],Location,PIN_G12,Yes,,,
Ok,,seg0[5],Location,PIN_F12,Yes,,,
Ok,,seg0[6],Location,PIN_F13,Yes,,,
Ok,,btn_start,Location,PIN_G3,Yes,,,
Ok,,btn_pause,Location,PIN_F1,Yes,,,
Ok,,btn_reset,Location,PIN_H2,Yes,,,
Ok,,sw_gamemode,Location,PIN_J6,Yes,,,
Ok,,sw1,Location,PIN_H5,Yes,,,
Ok,,sw2,Location,PIN_H6,Yes,,,
Ok,,sw3,Location,PIN_G4,Yes,,,
Ok,,sw4,Location,PIN_G5,Yes,,,
Ok,,sw5,Location,PIN_J7,Yes,,,
Ok,,sw6,Location,PIN_H7,Yes,,,
Ok,,sw7,Location,PIN_E3,Yes,,,
Ok,,sw8,Location,PIN_E4,Yes,,,
Ok,,sw9,Location,PIN_D2,Yes,,,
Ok,,red_out[0],Location,PIN_H19,Yes,,,
Ok,,red_out[1],Location,PIN_H17,Yes,,,
Ok,,red_out[2],Location,PIN_H20,Yes,,,
Ok,,red_out[3],Location,PIN_H21,Yes,,,
Ok,,green_out[0],Location,PIN_H22,Yes,,,
Ok,,green_out[1],Location,PIN_J17,Yes,,,
Ok,,green_out[2],Location,PIN_K17,Yes,,,
Ok,,green_out[3],Location,PIN_J21,Yes,,,
Ok,,blue_out[0],Location,PIN_K22,Yes,,,
Ok,,blue_out[1],Location,PIN_K21,Yes,,,
Ok,,blue_out[2],Location,PIN_J22,Yes,,,
Ok,,blue_out[3],Location,PIN_K18,Yes,,,
Ok,,led_out[0],Location,PIN_J1,Yes,,,
Ok,,led_out[1],Location,PIN_J2,Yes,,,
Ok,,led_out[2],Location,PIN_J3,Yes,,,
Ok,,led_out[3],Location,PIN_H1,Yes,,,
Ok,,led_out[4],Location,PIN_F2,Yes,,,
Ok,,led_out[5],Location,PIN_E1,Yes,,,
Ok,,led_out[6],Location,PIN_C1,Yes,,,
Ok,,led_out[7],Location,PIN_C2,Yes,,,
Ok,,led_out[8],Location,PIN_B2,Yes,,,
Ok,,led_out[9],Location,PIN_B1,Yes,,,
